id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	algorithms	0.1222	-0.2282	5	32	585	211	2017.3602
2	alternative transports	0.4159	-0.7388	3	10	19	8	2018.75
3	america	-0.8548	-0.1128	4	28	241	93	2016.3011
4	asia	-0.2454	-0.3648	3	28	264	82	2017.7683
5	bike availability	1.0127	0.1578	2	14	80	26	2017.5
6	bss	-0.0085	-0.0048	2	36	1911	847	2017.1275
7	covid-19	-0.5919	-0.8071	3	8	15	3	2020
8	docked bike-sharing	0.7361	0.2904	2	29	459	162	2017.3395
9	dockless bike-sharing	0.5444	-0.4776	3	29	285	100	2019.13
10	dynamic repositioning	0.1006	0.6545	6	17	43	13	2017.6154
11	economy	-0.6219	-0.0516	4	33	322	118	2017.7034
12	europe	-0.6779	-0.192	5	31	251	85	2015.7765
13	health	-0.0106	0.361	1	21	71	25	2017.52
14	history analysis	-1.4322	-0.7505	5	6	17	7	2012.7143
15	infrastructure	0.9583	-0.3492	2	18	43	15	2018.5333
16	literature review	-1.273	-0.1626	4	9	17	5	2018
17	mobility	-0.3368	0.3513	1	27	147	44	2017.3409
18	oceania	-1.0978	0.4151	4	6	10	3	2016.3333
19	pattern	0.0885	-0.614	3	22	116	36	2017.6111
20	policy maker	-0.6523	0.4524	4	21	66	23	2017.7826
21	pollution	-0.1922	0.7796	1	24	180	49	2017.551
22	public bike	-0.5536	0.1137	4	24	127	49	2017.4694
23	public transport	0.5276	-0.1009	3	22	52	18	2017
24	rebalancing	0.8608	0.1084	2	27	249	81	2017.3086
25	redistribution	1.1646	-0.0454	2	21	115	40	2017.375
26	relocation	1.4405	-0.5276	2	7	18	6	2019.5
27	service analysis	0.3984	-0.1746	6	28	249	81	2018.0247
28	sustainability	-0.0543	0.1209	1	28	216	66	2017.3485
29	traffic	-0.1751	0.6736	1	26	201	61	2017.5902
30	transport	-0.0958	-0.4874	3	22	63	17	2017.6471
31	transport alternatives	-0.3733	-0.2541	3	34	341	107	2017.2523
32	transportation	-0.0316	0.5526	1	28	206	74	2016.9865
33	transportation mode	0.3329	0.7482	1	19	55	18	2017.1667
34	transportation system	0.0136	-0.1675	6	18	63	23	2016.6522
35	trip analysis	0.2518	-0.065	2	36	1090	401	2017.4963
36	urban area	0.2092	0.4141	1	25	113	33	2016.7576
37	vehicle-sharing	0.1007	0.483	1	22	76	28	2016.1429
