label	replace by
ยก	
ability	 
abstract	
abstract bike sharing system	BSS
abstract public bike sharing system	BSS
acceptance	 
access	 
accessibility	 
account	 
active travel	Travel
activity	
addition	
adoption	
advantage	
agent	Algorithms
air pollution	Pollution
algorithm	Algorithms
alternative	
allocation	Relocation
alternative mode	
alternative transportation	
americas	America
amount	
analysis	Algorithms
app	
application	
approach	
area	
arrival	
article	
asia	Asia
aspect	
attention	
attitude	
attractiveness	
august	
australia	Oceania
author	
automatic rental station	Docked Bike-Sharing
availability	Bike Availability
availability prediction	Bike Availability
available bike	Bike Availability
awareness	
balancing bicycle	Rebalancing
balancing bike	Rebalancing
barcelona	Europe
barrier	
basis	
battery	
bbss	BSS
behavior	
beijing	Asia
benefit	Economy
bicimad	Europe
bicycle	
bicycle lane	BSS
bicycle sharing	BSS
bicycle sharing program	BSS
bicycle sharing scheme	BSS
bicycle sharing system	BSS
bicycle use	BSS
big city	
big data	Algorithms
bike	BSS
bike availability	Bike Availability
bike demand	Trip Analysis
bike demand prediction	Rebalancing
bike distribution	Rebalancing
bike lane	BSS
bike path	BSS
bike rental	BSS
bike repositioning problem	Rebalancing
bike rider	
bike share	BSS
bike share program	BSS
bike share system	BSS
bike sharing	BSS
bike sharing operator	BSS
bike sharing problem	BSS
bike sharing program	BSS
bike sharing scheme	BSS
bike sharing service	BSS
bike sharing station	BSS
bike sharing system	BSS
bike sharing trip	BSS
bike sharing usage	BSS
bike station	BSS
bike supply	BSS
bike theft	BSS
bike trip	BSS
bike usage	BSS
bike use	BSS
bike user	BSS
bikeshare	BSS
bikesharing	BSS
bikesharing network	BSS
bikesharing program	BSS
bikesharing station	BSS
bikesharing system	BSS
bikesharing trip	BSS
bikesharing user	BSS
biking	BSS
boom	
brp	
bss	BSS
bss operator	BSS
bsss	BSS
bus	
business	
business model	
campus	
canada	America
capacity	
capital	
capital bikeshare	BSS
car	Vehicle-Sharing
car sharing	Vehicle-Sharing
carbon emission	Pollution
carsharing	Vehicle-Sharing
case	
case study	
casual user	
certain time	
challenge	
change	
characteristic	
chicago	America
china	
chinese city	Asia
choice	
citi bike	BSS
citi bike system	BSS
citizen	
city	
city bike	BSS
climate change	Trip Analysis
closed queuing network	Algorithms
clustering	Algorithms
collection	
combination	
commercial bike	 
common issue	 
communication technology	 
community	 
community engagement	 
commuter	 
company	 
comparison	 
competition	 
concept	 
concern	 
congestion	Traffic
connection	
construction	
consumer	
context	
contrast	
contribution	
convenience	
convenient service	
cost	
country	
covid	COVID-19
critical factor	
crowdsourcing	Economy
crucial factor	
current bike	
customer	
cycling	
cycling trip	
cyclist	
daily operation	Redistribution
data	 Trip Analysis
data analysis	Trip Analysis
database	Trip Analysis
data mining technique	Algorithms
dataset	Trip Analysis
day	Trip Analysis
dbs	
dbsp	
dbss	
decade	
decision	
deep learning approach	Algorithms
delivery problem	Redistribution
demaio	
demand forecasting	Algorithms
demand prediction	Algorithms
departure	
deployment	
depot	
demand	Trip Analysis
destination	Trip Analysis
determinant	
development	
difference	
difficulty	
distance	Trip Analysis
distribution	Redistribution
divvy system	
dock	Docked Bike-Sharing
docked bike	Docked Bike-Sharing
docking station	Docked Bike-Sharing
dockless bike	Dockless Bike-Sharing
dockless bike sharing	Dockless Bike-Sharing
dockless bike sharing program	Dockless Bike-Sharing
dockless bike sharing system	Dockless Bike-Sharing
dockless bikesharing	Dockless Bike-Sharing
dockless system	Dockless Bike-Sharing
dynamic	Dynamic Repositioning
dynamic bike	Dynamic Repositioning
dynamic demand	Dynamic Repositioning
dynamic repositioning	Dynamic Repositioning
e bike	
economy	Economy
effect	
effectiveness	
efficiency	
efficient bike	Economy
effort	
electric bike	
element	
emergence	
emission	Pollution
empirical analysis	Algorithms
empirical study	Algorithms
empty station	Redistribution
end	
energy saving	Pollution
engagement	
enterprise	Economy
environment	
environment factor	
environmental benefit	Economy
environmental pollution	Pollution
equity	
estimation	
europe	Europe
european city	Europe
evaluation	
event	
evidence	
evolution	
example	
expansion	
experience	
experimental study	Algorithms
fact	
factor	
failure	
faulty bike	
feature	
fee	
feeder mode	
ffbs	Dockless Bike-Sharing
ffbss	Dockless Bike-Sharing
field	
fierce competition	
figure	
final destination	
finite capacity	
fishman	
fleet	
fleet size	
flexibility	
flow	
focus	
form	
framework	
france	Europe
free	
free floating bike sharing	Dockless Bike-Sharing
free floating bike sharing system	Dockless Bike-Sharing
frequency	
future	
gap	
general public	
generation	
global scale	
globe	
goal	
government	
gps	
graph	Algorithms
greece	Europe
green alternative	Pollution
green transportation mode	Pollution
green travel	Pollution
growth	
hand	
hangzhou	Asia
health	Health
healthy lifestyle	Health
helmet	
help	
heuristic algorithm	Algorithms
history	History Analysis
holiday	Trip Analysis
home	
http	
hundred	
ict	
idea	
identification	
imbalance	Rebalancing
impact	Economy
implementation	
implication	
importance	
important role	
improvement	
increase	
individual	
indonesia	Asia
industry	
influence	
influencing factor	
influential factor	
information	
initiative	
innovation	
innovative bike	
insight	
integration	
intention	
interaction	
interest	
internet	
intervention	
inventory rebalancing	Rebalancing
investigation	
iot	
issue	
itrd database	
journal	
journey	
june	
key	
key factor	
keywords	
kind	
knowledge	
lack	
land use	
landscape	
lane	
large city	
large number	
large scale	
large scale bike	
last decade	
last mile	
last mile problem	
latest generation	
leisure	
lesson	
level	
life	
link	
literature	
literature review	Literature Review
location	Trip Analysis
logistical challenge	
london	Europe
lot	
low cost	
low income communities	
lyon	Europe
machine	Algorithms
machine learning	Algorithms
madrid	Europe
main problem	
major challenge	
major city	
management	
manager	
market	
markov chain	Algorithms
mass transit system	
massive bike	
mean	
measure	
mechanism	
medium	
member	
methodology	
metro	Alternative Transports
metro station	Alternative Transports
mexico	America
mile	
minneapolis	America
mobike	Asia
mobility pattern	Trip Analysis
mobility service	Trip Analysis
mobility system	
modal shift	
mode	
model	Algorithms
modeling	Algorithms
modeling bike	Algorithms
modern bike	
moment	
momentum	
montreal	America
montreal bikesharing system	America
motivation	
movement	
munich	Europe
municipality	
nanjing	Asia
nation	
need	
netherlands	Europe
network	
new approach	
new challenge	
new form	
new generation	
new type	
new york	America
new york city	America
non	
north america	America
north american city	America
number	
numerous city	
nyc	America
one	
operator	
operation	
opportunity	
optimization	Algorithms
optimization model	Algorithms
optimization problem	Algorithms
order	
organization	
origin	
overview	
page	
pandemic	COVID-19
paper	
paper analyze	
paper study	
paris	Europe
parking difficulty	
part	
passenger	
past	
past decade	
path	
pattern Trip Analysis	
pbs	BSS
pbss	BSS
peer	
perception	
performance	Algorithms
performance analysis	Algorithms
performance evaluation	Algorithms
period	
person	
perspective	
philadelphia	America
